time,exchange,best_bid,best_ask,mid,asks_json,bids_json
2026-09-12T20:50:02.056181+00:00,nobitex,17850000001.0,17850000003.0,17850000002.0,"[[17850000003.0, 0.002011], [17869000100.0, 0.00519], [17870000000.0, 0.000689], [17870659799.0, 0.001066], [17872600000.0, 0.000658], [17872674070.0, 0.007267], [17872900000.0, 0.006555], [17879999999.0, 0.00044], [17880000000.0, 0.000458], [17883369911.0, 0.000445], [17890680217.0, 0.00088], [17890680218.0, 0.000558], [17890680222.0, 4e-06], [17890680313.0, 0.003674], [17891009000.0, 0.007963], [17891670285.0, 0.000145], [17894999999.0, 0.000541], [17895000000.0, 1e-05], [17900000000.0, 0.003004], [17907208000.0, 0.007166]]","[[17850000001.0, 0.000104], [17850000000.0, 0.00056], [17841000022.0, 0.00013], [17820777840.0, 0.001625], [17820776840.0, 0.000162], [17820001002.0, 0.00088], [17820000000.0, 0.000203], [17819000000.0, 0.001364], [17818213324.0, 0.000931], [17802001000.0, 0.000896], [17802000000.0, 0.000123], [17800000001.0, 0.000491], [17800000000.0, 0.079372], [17790000009.0, 6e-06], [17788553655.0, 3e-06], [17786524179.0, 1.1e-05], [17786523179.0, 0.000116], [17782910031.0, 0.038886], [17780000000.0, 1.3e-05], [17779000000.0, 5.6e-05]]"
2026-09-12T20:50:03.469171+00:00,bitpin,17927377746.0,17935270425.0,17931324085.5,"[[17935270425.0, 0.00941935], [17936928127.0, 0.00127076], [17937085698.0, 0.001537], [17938878913.0, 0.0010759], [17940672129.0, 0.00075313], [17950002379.0, 0.00059414], [17960000000.0, 0.02136271], [17962367832.0, 0.001006], [17984491437.0, 0.00108068], [17985489880.0, 0.00071326], [17992216200.0, 7.056e-05], [17997152562.0, 0.00074943], [17998385211.0, 3.22e-05], [18004252665.0, 0.0002784], [18032012263.0, 0.04043827], [18038231090.0, 0.03472749], [18047352528.0, 0.03013501], [18054823216.0, 0.03066171], [18065104878.0, 0.04527519], [18065593709.0, 0.03130974]]","[[17927377746.0, 0.00183152], [17922919881.0, 6.184e-05], [17911087512.0, 0.00107622], [17909294381.0, 0.00075335], [17907501249.0, 0.00052735], [17906737005.0, 0.00962698], [17900000000.0, 0.00027932], [17898919881.0, 0.01598767], [17887642773.0, 0.00011538], [17859409262.0, 0.0004391], [17855555556.0, 0.00140012], [17855555555.0, 0.00864914], [17850698530.0, 0.00171069], [17850225971.0, 0.00103218], [17849559551.0, 8.97e-06], [17848348438.0, 0.03935605], [17840000000.0, 0.00028026], [17839559551.0, 5.96e-06], [17833589734.0, 5.6e-06], [17833000000.0, 0.00280379]]"
2026-09-12T20:50:08.291687+00:00,wallex,17904252742.0,17904252754.0,17904252748.0,"[[17904252754.0, 0.00010348], [17936922351.0, 0.004493], [17936922361.0, 0.05413348], [17936950748.0, 0.00078637], [17945492948.0, 0.001172], [17955800000.0, 0.01670343], [17956000012.0, 0.00016707], [17960203532.0, 0.000399], [17981373000.0, 0.00218831], [17981374968.0, 0.00037232], [17984881591.0, 0.001891], [17991270203.0, 0.01103584], [17999434463.0, 0.00118831], [17999999989.0, 0.0028883], [18000000000.0, 0.07798289], [18000814472.0, 0.00017561], [18011902391.0, 0.00104205], [18033655083.0, 0.04329186], [18053551877.0, 2.24e-05], [18057874934.0, 0.001]]","[[17904252742.0, 7.26e-05], [17904166660.0, 0.0129694], [17903500007.0, 0.00014673], [17903500002.0, 0.00016756], [17900000002.0, 0.00258162], [17900000000.0, 0.00506288], [17896436727.0, 0.001268], [17890046498.0, 0.000599], [17880001000.0, 0.00061702], [17880000000.0, 0.00346101], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 0.00034138], [17850000000.0, 0.00113402], [17847875457.0, 2.73e-05], [17840000000.0, 0.00028534], [17839999997.0, 5.659e-05], [17833309278.0, 1.401e-05], [17826956289.0, 1.19e-05]]"
2026-09-12T20:50:11.046243+00:00,nobitex,17850000001.0,17850000003.0,17850000002.0,"[[17850000003.0, 0.002011], [17869000100.0, 0.00519], [17870000000.0, 0.000689], [17870659799.0, 0.001066], [17872600000.0, 0.000658], [17872674070.0, 0.007267], [17872900000.0, 0.006555], [17879999999.0, 0.00044], [17880000000.0, 0.000458], [17884577579.0, 0.00045], [17890680217.0, 0.00088], [17890680218.0, 0.000558], [17890680222.0, 4e-06], [17890680313.0, 0.003674], [17891009000.0, 0.007963], [17894999999.0, 0.000541], [17895000000.0, 1e-05], [17900000000.0, 0.003004], [17907208000.0, 0.007166], [17912091148.0, 0.0015]]","[[17850000001.0, 0.000104], [17850000000.0, 0.00056], [17841000022.0, 0.00013], [17820777840.0, 0.001625], [17820001002.0, 0.00088], [17820000000.0, 0.000203], [17819000000.0, 0.001364], [17818213324.0, 0.000931], [17802001000.0, 0.000896], [17802000000.0, 0.000123], [17800000001.0, 0.000491], [17800000000.0, 0.079372], [17790000009.0, 6e-06], [17788553655.0, 3e-06], [17786524179.0, 1.1e-05], [17786523179.0, 0.000116], [17782910031.0, 0.038886], [17780000000.0, 1.3e-05], [17779000000.0, 5.6e-05], [17777777777.0, 7e-05]]"
2026-09-12T20:50:12.420615+00:00,bitpin,17911115615.0,17935270425.0,17923193020.0,"[[17935270425.0, 0.00941935], [17936928127.0, 0.00127076], [17937085698.0, 0.001537], [17938878913.0, 0.0010759], [17940672129.0, 0.00075313], [17950002379.0, 0.00059414], [17960000000.0, 0.02136271], [17962367832.0, 0.001006], [17984491437.0, 0.00108068], [17985489880.0, 0.00071326], [17992216200.0, 7.056e-05], [17997152562.0, 0.00074943], [17998385211.0, 3.22e-05], [18004252665.0, 0.0002784], [18032012263.0, 0.04043827], [18038231090.0, 0.03472749], [18047352528.0, 0.03013501], [18054823216.0, 0.03066171], [18065104878.0, 0.04527519], [18065593709.0, 0.03130974]]","[[17911115615.0, 0.00558312], [17911115614.0, 0.00153833], [17909322481.0, 0.00107683], [17907529349.0, 0.00075378], [17900000000.0, 0.00027932], [17898919881.0, 0.01598767], [17859409262.0, 0.0004391], [17855555556.0, 0.00140012], [17855555555.0, 0.00864914], [17850698530.0, 0.00171069], [17850225971.0, 0.00103218], [17849559551.0, 8.97e-06], [17848348438.0, 0.03935605], [17840000000.0, 0.00028026], [17839559551.0, 5.96e-06], [17833589734.0, 5.6e-06], [17833000000.0, 0.00280379], [17830435497.0, 0.04257383], [17830048065.0, 0.01410755], [17828883994.0, 0.0299787]]"
2026-09-12T20:50:13.702813+00:00,wallex,17904252742.0,17904252754.0,17904252748.0,"[[17904252754.0, 0.00010348], [17936922341.0, 0.004493], [17936922361.0, 0.05413348], [17936950748.0, 0.00078637], [17945492948.0, 0.001172], [17955800000.0, 0.01670343], [17956000012.0, 0.00016707], [17960203532.0, 0.000399], [17981373000.0, 0.00218831], [17981374968.0, 0.00037232], [17984881591.0, 0.001891], [17991270203.0, 0.01103584], [17999434463.0, 0.00118831], [17999999989.0, 0.0028883], [18000000000.0, 0.07798289], [18000814472.0, 0.00017561], [18011902391.0, 0.00104205], [18033655083.0, 0.04329186], [18053551877.0, 2.24e-05], [18057874934.0, 0.001]]","[[17904252742.0, 7.26e-05], [17904166660.0, 0.0129694], [17903500007.0, 0.00014673], [17903500002.0, 0.00016756], [17900000002.0, 0.00258162], [17900000000.0, 0.00506288], [17896436727.0, 0.001268], [17890046498.0, 0.000599], [17880001000.0, 0.00061702], [17880000000.0, 0.00346101], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 0.00034138], [17850000000.0, 0.00113402], [17847875457.0, 2.73e-05], [17840000000.0, 0.00028534], [17839999997.0, 5.659e-05], [17833309278.0, 1.401e-05], [17826956289.0, 1.19e-05]]"
2026-09-12T20:50:14.766743+00:00,nobitex,17850000001.0,17850000003.0,17850000002.0,"[[17850000003.0, 0.002011], [17869000100.0, 0.00519], [17870000000.0, 0.000689], [17870659799.0, 0.001066], [17872600000.0, 0.000658], [17872674070.0, 0.007267], [17872900000.0, 0.006555], [17879999999.0, 0.00044], [17880000000.0, 0.000458], [17884577579.0, 0.00045], [17890680217.0, 0.00088], [17890680218.0, 0.000558], [17890680222.0, 4e-06], [17890680313.0, 0.003674], [17891009000.0, 0.007963], [17894999999.0, 0.000541], [17895000000.0, 1e-05], [17900000000.0, 0.003004], [17907208000.0, 0.007166], [17912091148.0, 0.0015]]","[[17850000001.0, 0.000104], [17850000000.0, 0.00056], [17841000022.0, 0.00013], [17820777840.0, 0.001625], [17820001002.0, 0.00088], [17820000000.0, 0.000203], [17819000000.0, 0.001364], [17818213324.0, 0.000931], [17802001000.0, 0.000896], [17802000000.0, 0.000123], [17800000001.0, 0.000491], [17800000000.0, 0.079372], [17790000009.0, 6e-06], [17788553655.0, 3e-06], [17786524179.0, 1.1e-05], [17786523179.0, 0.000116], [17782910031.0, 0.038886], [17780000000.0, 1.3e-05], [17779000000.0, 5.6e-05], [17777777777.0, 7e-05]]"
2026-09-12T20:50:16.313068+00:00,bitpin,17911115615.0,17935270424.0,17923193019.5,"[[17935270424.0, 0.0091809], [17935270425.0, 0.00941935], [17936928127.0, 0.00127076], [17937085698.0, 0.001537], [17938878913.0, 0.0010759], [17940672129.0, 0.00075313], [17950002379.0, 0.00059414], [17960000000.0, 0.02136271], [17962367832.0, 0.001006], [17984491437.0, 0.00108068], [17985489880.0, 0.00071326], [17992216200.0, 7.056e-05], [17997152562.0, 0.00074943], [17998385211.0, 3.22e-05], [18004252665.0, 0.0002784], [18032012263.0, 0.04043827], [18038231090.0, 0.03472749], [18047352528.0, 0.03013501], [18054823216.0, 0.03066171], [18065104878.0, 0.04527519]]","[[17911115615.0, 0.00558312], [17911115614.0, 0.00153833], [17909322481.0, 0.00107683], [17907529349.0, 0.00075378], [17904848946.0, 0.00942749], [17900000000.0, 0.00027932], [17898919881.0, 0.01598767], [17859409262.0, 0.0004391], [17855555556.0, 0.00140012], [17855555555.0, 0.00864914], [17850698530.0, 0.00171069], [17850225971.0, 0.00103218], [17849559551.0, 8.97e-06], [17848348438.0, 0.03935605], [17846203046.0, 0.00122819], [17840000000.0, 0.00028026], [17839559551.0, 5.96e-06], [17833589734.0, 5.6e-06], [17833000000.0, 0.00280379], [17830435497.0, 0.04257383]]"
2026-09-12T20:50:18.776020+00:00,wallex,17904252742.0,17904252754.0,17904252748.0,"[[17904252754.0, 0.00010348], [17936922341.0, 0.004493], [17936922361.0, 0.05413348], [17936950748.0, 0.00078637], [17945492948.0, 0.001172], [17955800000.0, 0.01670343], [17956000012.0, 0.00016707], [17960203532.0, 0.000399], [17981373000.0, 0.00218831], [17981374968.0, 0.00037232], [17984881591.0, 0.001891], [17991270203.0, 0.01103584], [17999434463.0, 0.00118831], [17999999989.0, 0.0028883], [18000000000.0, 0.07798289], [18000814472.0, 0.00017561], [18011902391.0, 0.00104205], [18033655083.0, 0.04329186], [18053551877.0, 2.24e-05], [18057874934.0, 0.001]]","[[17904252742.0, 7.26e-05], [17904166660.0, 0.0129694], [17903500007.0, 0.00014673], [17903500002.0, 0.00016756], [17900000002.0, 0.00258162], [17900000000.0, 0.00506288], [17896436727.0, 0.001268], [17890046498.0, 0.000599], [17880001000.0, 0.00061702], [17880000000.0, 0.00346101], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 0.00034138], [17850000000.0, 0.00113402], [17847875457.0, 2.73e-05], [17840000000.0, 0.00028534], [17839999997.0, 5.659e-05], [17833309278.0, 1.401e-05], [17826956289.0, 1.19e-05]]"
2026-09-12T20:50:20.047061+00:00,nobitex,17850000000.0,17850000001.0,17850000000.5,"[[17850000001.0, 0.000309], [17850000003.0, 0.002011], [17869000099.0, 0.00132], [17869000100.0, 0.00519], [17870000000.0, 0.000689], [17870659799.0, 0.001066], [17872600000.0, 0.000658], [17872674070.0, 0.007267], [17872900000.0, 0.006555], [17880000000.0, 0.000458], [17887314456.0, 0.000459], [17890680218.0, 0.000558], [17890680222.0, 4e-06], [17890680313.0, 0.003674], [17891009000.0, 0.007963], [17894999999.0, 0.000541], [17895000000.0, 1e-05], [17895616662.0, 0.000146], [17900000000.0, 0.003004], [17907208000.0, 0.007166]]","[[17850000000.0, 0.00056], [17841000022.0, 0.00013], [17820002003.0, 0.00088], [17820002002.0, 0.00165], [17820000000.0, 0.000203], [17819000000.0, 0.001364], [17818213324.0, 0.000931], [17802001000.0, 0.000896], [17802000000.0, 0.000123], [17800000001.0, 0.000491], [17800000000.0, 0.079372], [17790000009.0, 6e-06], [17788553655.0, 3e-06], [17786524179.0, 1.1e-05], [17786523179.0, 0.000116], [17782910031.0, 0.038886], [17781700101.0, 0.000231], [17780000000.0, 1.3e-05], [17779000000.0, 5.6e-05], [17777777777.0, 7e-05]]"
2026-09-12T20:50:21.617456+00:00,bitpin,17911115615.0,17935270424.0,17923193019.5,"[[17935270424.0, 0.0091809], [17936928127.0, 0.00127076], [17937085698.0, 0.001537], [17938878913.0, 0.0010759], [17940672129.0, 0.00075313], [17950002379.0, 0.00059414], [17960000000.0, 0.02136271], [17962367832.0, 0.001006], [17984491437.0, 0.00108068], [17985489880.0, 0.00071326], [17992216200.0, 7.056e-05], [17997152562.0, 0.00074943], [17998385211.0, 3.22e-05], [18004252665.0, 0.0002784], [18032012263.0, 0.04043827], [18038231090.0, 0.03472749], [18047352528.0, 0.03013501], [18054823216.0, 0.03066171], [18065104878.0, 0.04527519], [18065593709.0, 0.03130974]]","[[17911115615.0, 0.00558312], [17911115614.0, 0.00153833], [17909322481.0, 0.00107683], [17907529349.0, 0.00075378], [17904848946.0, 0.00942749], [17900000000.0, 0.00027932], [17898919881.0, 0.01598767], [17859409262.0, 0.0004391], [17855555556.0, 0.00140012], [17855555555.0, 0.00864914], [17850698530.0, 0.00171069], [17850225971.0, 0.00103218], [17849559551.0, 8.97e-06], [17848348438.0, 0.03935605], [17846203046.0, 0.00122819], [17840000000.0, 0.00028026], [17839559551.0, 5.96e-06], [17833589734.0, 5.6e-06], [17833000000.0, 0.00280379], [17830435497.0, 0.04257383]]"
2026-09-12T20:50:26.969380+00:00,wallex,17904252742.0,17904252754.0,17904252748.0,"[[17904252754.0, 0.00010348], [17936922331.0, 0.004493], [17936922361.0, 0.05413348], [17940285071.0, 0.00080495], [17945492948.0, 0.001172], [17955800000.0, 0.01670343], [17956000012.0, 0.00016707], [17960203532.0, 0.000399], [17981373000.0, 0.00218831], [17981374968.0, 0.00037232], [17984881591.0, 0.001891], [17991270203.0, 0.01103584], [17999434463.0, 0.00118831], [17999999989.0, 0.0028883], [18000000000.0, 0.07798289], [18000814472.0, 0.00017561], [18011902391.0, 0.00104205], [18033655083.0, 0.04329186], [18053551877.0, 2.24e-05], [18057874934.0, 0.001]]","[[17904252742.0, 7.26e-05], [17904166660.0, 0.0129694], [17903500007.0, 0.00014673], [17903500002.0, 0.00016756], [17900000002.0, 0.00258162], [17900000000.0, 0.00506288], [17896436727.0, 0.001268], [17890047498.0, 0.00039974], [17890046498.0, 0.000599], [17880001000.0, 0.00021827], [17880000000.0, 0.00346101], [17872000000.0, 0.0009], [17865635001.0, 0.00139989], [17860000000.0, 0.00017855], [17850966102.0, 0.00034138], [17850000000.0, 0.00113402], [17847875457.0, 2.73e-05], [17840000000.0, 0.00028534], [17839999997.0, 5.659e-05], [17833309278.0, 1.401e-05]]"
2026-09-12T20:50:28.183138+00:00,nobitex,17850000000.0,17850000001.0,17850000000.5,"[[17850000001.0, 0.000309], [17850000003.0, 0.002011], [17869000099.0, 0.00132], [17869000100.0, 0.00519], [17870000000.0, 0.000689], [17870659799.0, 0.001066], [17872600000.0, 0.000658], [17872674070.0, 0.007267], [17872900000.0, 0.006555], [17880000000.0, 0.000458], [17887314456.0, 0.000459], [17890680218.0, 0.000558], [17890680222.0, 4e-06], [17890680313.0, 0.003674], [17891009000.0, 0.007963], [17894999999.0, 0.000541], [17895000000.0, 1e-05], [17895616662.0, 0.000146], [17900000000.0, 0.003004], [17907208000.0, 0.007166]]","[[17850000000.0, 0.00056], [17841000022.0, 0.00013], [17820002003.0, 0.00088], [17820002002.0, 0.00165], [17820000000.0, 0.000203], [17819000000.0, 0.001364], [17818213324.0, 0.000931], [17802001000.0, 0.000896], [17802000000.0, 0.000123], [17800000001.0, 0.000491], [17800000000.0, 0.093817], [17790000009.0, 6e-06], [17788553655.0, 3e-06], [17786524179.0, 1.1e-05], [17786523179.0, 0.000116], [17782910031.0, 0.038886], [17781700101.0, 0.000231], [17780000000.0, 1.3e-05], [17779000000.0, 5.6e-05], [17777777777.0, 7e-05]]"
